comp_name,dep_status,duration,end_date,etl_type,failed_steps,i_load_plan,name,nb_run,row_tag,running_steps,sess_no,start_date,status,succ_steps,total_steps
117225 - 1 - apl-scm-core quality conditional load plan,,00:01,2020-06-11 17:17:55.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,1,0,117225,2020-06-11 17:16:01.0,Completed,0,8
117224 - 1 - apl-scm-scp MODEL LP,,00:00,2020-06-11 17:16:02.0,CDP-OCI,0,1055,apl-scm-scp MODEL LP,1,2,0,117224,2020-06-11 17:15:41.0,Completed,4,7
117223 - 1 - sds-fia-app om custom load,,-1:58,2020-06-11 17:12:33.0,CDP-OCI,0,460,sds-fia-app om custom load,1,3,0,117223,2020-06-11 17:13:56.0,Completed,15,15
117221 - 1 - sds-fia-app om custom load,,-1:59,2020-06-11 17:06:23.0,CDP-OCI,0,460,sds-fia-app om custom load,1,4,0,117221,2020-06-11 17:07:12.0,Completed,15,15
117222 - 1 - apl-scm-app 102 Order Management hourly load plan,,00:13,,CDP-OCI,0,848,apl-scm-app 102 Order Management hourly load plan,1,5,1,117222,2020-06-11 17:06:15.0,Running,17,37
117219 - 1 - sds-oalprj-app stream replicate hourly,,00:00,2020-06-11 17:04:50.0,CDP-OCI,0,1345,sds-oalprj-app stream replicate hourly,1,6,0,117219,2020-06-11 17:04:30.0,Completed,5,5
117216 - 1 - appl-monitor-app plan,,00:00,2020-06-11 17:04:49.0,CDP-OCI,0,774,appl-monitor-app plan,1,7,0,117216,2020-06-11 17:04:16.0,Completed,5,5
117215 - 1 - sds-fia-erp hourly load plan Fin01,,00:02,2020-06-11 17:06:34.0,CDP-OCI,0,463,sds-fia-erp hourly load plan Fin01,1,8,0,117215,2020-06-11 17:04:15.0,Completed,229,408
117220 - 1 - sds-oalodi-app plan1,,00:02,2020-06-11 17:04:52.0,CDP-OCI,0,1302,sds-oalodi-app plan1,1,9,0,117220,2020-06-11 17:02:38.0,Completed,5,5
117218 - 1 - sds-fia-app hourly auto load plan1,,00:05,2020-06-11 17:08:09.0,CDP-OCI,0,1462,sds-fia-app hourly auto load plan1,1,10,0,117218,2020-06-11 17:02:37.0,Completed,178,178
117217 - 1 - fdl-common-app hourly consume,,00:08,2020-06-11 17:11:08.0,CDP-OCI,0,812,fdl-common-app hourly consume,1,11,0,117217,2020-06-11 17:02:27.0,Completed,48,63
117213 - 1 - sds-fia-app hourly plan1,,00:14,2020-06-11 17:17:11.0,CDP-OCI,1,1464,sds-fia-app hourly plan1,1,12,0,117213,2020-06-11 17:02:15.0,Failed,1608,4044
117214 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 17:02:17.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,13,0,117214,2020-06-11 17:02:14.0,Completed,0,5
117211 - 1 - sds-fia-app om custom load,,-1:58,2020-06-11 16:58:40.0,CDP-OCI,0,460,sds-fia-app om custom load,1,14,0,117211,2020-06-11 17:00:19.0,Completed,15,15
117212 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 17:00:20.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,15,0,117212,2020-06-11 17:00:18.0,Completed,0,8
117210 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 16:52:45.0,CDP-OCI,0,460,sds-fia-app om custom load,1,16,0,117210,2020-06-11 16:52:32.0,Completed,15,15
117209 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 16:46:51.0,CDP-OCI,0,460,sds-fia-app om custom load,1,17,0,117209,2020-06-11 16:46:38.0,Completed,15,15
117208 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 16:45:36.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,18,0,117208,2020-06-11 16:45:34.0,Completed,0,5
117207 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 16:44:37.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,19,0,117207,2020-06-11 16:44:35.0,Completed,0,8
117206 - 1 - sds-fia-app om custom load,,-1:58,2020-06-11 16:40:57.0,CDP-OCI,0,460,sds-fia-app om custom load,1,20,0,117206,2020-06-11 16:42:33.0,Completed,15,15
